model,display_freq,battery,price,ram,size,camera_res
Samsung Model 1,139,4645,28853,13,5.05,95.0
Samsung Model 2,96,5088,29971,8,5.78,71.1
Apple Model 3,62,5024,26525,11,4.56,107.2
Nokia Model 4,143,4373,19426,10,6.26,28.0
Nokia Model 5,121,5548,37293,15,5.18,77.7
Asus Model 6,116,4118,7356,11,4.98,19.7
OnePlus Model 7,118,4852,5169,15,6.75,35.4
Realme Model 8,115,4810,19888,6,4.53,36.7
Nokia Model 9,110,3240,15873,13,6.89,26.9
Asus Model 10,110,5656,7529,13,7.15,31.3
OnePlus Model 11,102,3894,23833,7,5.32,90.8
OnePlus Model 12,128,4859,12813,3,7.05,95.1
Oppo Model 13,93,4974,15585,5,5.34,105.8
Motorola Model 14,68,5679,33789,9,4.8,107.3
Nokia Model 15,62,3940,14253,8,6.85,105.6
Google Model 16,91,4147,19918,14,4.82,92.0
Nokia Model 17,140,4407,17234,6,6.8,61.3
OnePlus Model 18,91,3348,39128,10,4.79,77.1
Motorola Model 19,141,5848,9779,11,5.92,30.1
Samsung Model 20,65,3817,15216,7,7.1,92.4
Huawei Model 21,60,5466,32411,10,6.62,14.5
Nokia Model 22,66,5032,21763,12,7.13,73.8
OnePlus Model 23,132,4707,11725,16,6.04,73.6
Nokia Model 24,127,3275,13095,7,5.67,43.0
Asus Model 25,99,3667,11705,3,5.91,32.5
Apple Model 26,92,5675,14218,15,5.47,83.4
Google Model 27,116,5572,7925,12,5.31,46.2
Realme Model 28,135,5690,24186,5,6.49,39.3
Google Model 29,78,4635,25688,14,7.02,58.7
Nokia Model 30,69,4325,5600,3,4.79,35.7
Google Model 31,103,5610,14047,5,5.91,24.2
Sony Model 32,104,3149,5347,8,5.05,71.2
OnePlus Model 33,66,4841,3139,9,6.01,22.4
Huawei Model 34,84,5380,17362,5,6.68,92.0
Oppo Model 35,79,4778,28706,13,5.34,78.6
OnePlus Model 36,95,5755,33709,4,5.45,101.9
Motorola Model 37,95,5173,35293,10,5.6,23.9
Realme Model 38,61,5630,3562,9,5.18,35.2
Nokia Model 39,83,4726,7943,14,5.21,72.1
Sony Model 40,137,5498,19914,11,5.38,19.5
Asus Model 41,136,5408,9492,10,6.32,21.0
Nokia Model 42,136,5938,7460,8,6.8,87.0
Apple Model 43,83,4274,39173,16,5.37,57.8
Oppo Model 44,92,5551,34488,9,6.01,13.4
Apple Model 45,97,4354,5181,6,6.13,67.9
OnePlus Model 46,84,3292,24398,3,5.24,42.6
Oppo Model 47,122,4555,7871,15,5.62,48.4
Sony Model 48,142,4342,28372,5,5.12,56.8
Apple Model 49,111,3392,37671,6,7.07,46.2
Huawei Model 50,99,4010,7319,8,6.4,12.8
Huawei Model 51,143,3455,36265,6,4.55,56.1
Motorola Model 52,128,4383,4108,11,7.06,12.5
Motorola Model 53,92,5736,38467,9,7.04,99.5
Google Model 54,129,4135,21565,4,4.53,95.2
Motorola Model 55,120,4327,32959,7,4.54,43.3
Google Model 56,121,4197,25789,10,6.18,56.1
Huawei Model 57,91,5128,38230,8,6.96,9.7
Motorola Model 58,91,4967,30100,12,4.79,90.5
Asus Model 59,119,5184,12335,4,6.63,86.2
Google Model 60,140,3034,19533,9,6.95,17.0
Realme Model 61,138,4044,13395,6,5.82,15.3
Apple Model 62,72,3085,37490,15,7.1,20.3
Huawei Model 63,101,5290,23181,4,5.48,38.7
Oppo Model 64,102,3517,20860,6,6.89,74.1
Nokia Model 65,129,5630,29304,8,5.45,67.0
Realme Model 66,85,4803,11536,15,5.0,100.7
Nokia Model 67,85,3649,8483,15,6.76,94.9
Xiaomi Model 68,103,3637,16337,6,5.19,69.4
Sony Model 69,140,3695,11047,6,4.55,103.5
Huawei Model 70,88,4690,33319,8,7.15,67.7
Sony Model 71,126,3303,20148,15,4.98,88.8
OnePlus Model 72,78,3773,20493,15,6.62,81.5
Xiaomi Model 73,78,3330,20404,12,5.56,89.4
Sony Model 74,62,3272,3039,3,5.98,61.5
Samsung Model 75,71,5481,29763,3,7.1,79.0
Xiaomi Model 76,82,3976,7165,11,5.67,40.3
OnePlus Model 77,68,5002,32029,5,6.95,29.7
Nokia Model 78,102,4619,20425,9,4.65,100.8
Nokia Model 79,139,3202,27595,3,6.75,14.3
OnePlus Model 80,120,3545,21879,3,6.25,103.8
Motorola Model 81,125,5050,34798,11,5.5,22.6
Asus Model 82,73,3110,38009,11,7.15,24.9
Sony Model 83,144,3582,16392,13,6.11,75.6
OnePlus Model 84,111,4169,14918,10,6.56,47.5
Xiaomi Model 85,106,3088,29607,5,6.98,65.1
Huawei Model 86,100,3152,37555,5,4.97,31.4
Huawei Model 87,102,4755,11150,11,6.21,18.0
Huawei Model 88,88,5550,18088,10,7.01,16.2
Samsung Model 89,134,3379,21318,5,6.43,82.2
Nokia Model 90,109,4335,36660,12,5.62,70.9
Realme Model 91,123,3246,10354,15,5.55,73.5
